id,category,city,state,fetched_at
530,wedding venue,jeffersonville,Indiana,2024-12-04 14:47:15.746+00
531,window cleaning service,jeffersonville,Indiana,2024-12-04 14:47:34.319+00
532,air conditioning repair service,north bethesda,Maryland,2024-12-04 14:48:16.075+00
533,baby store,north bethesda,Maryland,2024-12-04 14:48:46.51+00
534,beauty salon,north bethesda,Maryland,2024-12-04 14:49:10.407+00
535,construction company,north bethesda,Maryland,2024-12-04 14:49:48.239+00
536,dental clinic,north bethesda,Maryland,2024-12-04 14:50:12.858+00
537,dollar store,north bethesda,Maryland,2024-12-04 14:51:02.241+00
538,family law attorney,north bethesda,Maryland,2024-12-04 14:51:57.778+00
539,fitness center,north bethesda,Maryland,2024-12-04 14:52:34.981+00
540,funeral home,north bethesda,Maryland,2024-12-04 14:53:03.032+00
541,general practice attorney,north bethesda,Maryland,2024-12-04 14:53:39.68+00
542,gutter cleaning service,north bethesda,Maryland,2024-12-04 14:54:20.298+00
543,hairdresser,north bethesda,Maryland,2024-12-04 14:54:46.662+00
544,insurance company,north bethesda,Maryland,2024-12-04 14:55:15.153+00
545,law firm,north bethesda,Maryland,2024-12-04 14:56:07.613+00
546,liquor store,north bethesda,Maryland,2024-12-04 14:56:47.253+00
547,mechanic,north bethesda,Maryland,2024-12-04 14:57:10.506+00
548,supermarket,north bethesda,Maryland,2024-12-04 14:57:40.458+00
549,tire shop,north bethesda,Maryland,2024-12-04 14:58:08.135+00
550,wedding venue,north bethesda,Maryland,2024-12-04 14:58:40.516+00
551,window cleaning service,north bethesda,Maryland,2024-12-04 14:59:13.601+00
552,air conditioning repair service,st. louis park,Minnesota,2024-12-04 14:59:54.967+00
553,baby store,st. louis park,Minnesota,2024-12-04 15:00:49.706+00
554,beauty salon,st. louis park,Minnesota,2024-12-04 15:01:18.794+00
555,construction company,st. louis park,Minnesota,2024-12-04 15:02:04.311+00
556,dental clinic,st. louis park,Minnesota,2024-12-04 15:02:27.059+00
557,dollar store,st. louis park,Minnesota,2024-12-04 15:02:51.499+00
558,family law attorney,st. louis park,Minnesota,2024-12-04 15:03:52.389+00
559,fitness center,st. louis park,Minnesota,2024-12-04 15:04:16.658+00
560,funeral home,st. louis park,Minnesota,2024-12-04 15:04:55.114+00
561,general practice attorney,st. louis park,Minnesota,2024-12-04 15:05:15.189+00
562,gutter cleaning service,st. louis park,Minnesota,2024-12-04 15:05:35.531+00
563,hairdresser,st. louis park,Minnesota,2024-12-04 15:06:10.318+00
